last_name,n_incidents,predicted_nationality,confidence
maisonneuve,1167,Canadian,0.228572
chuong,1167,Chinese,0.493428
gudkov,1167,Russian,0.530148
neel,1167,American,0.23293
polk,1167,American,0.411515
palli,1167,American,0.207848
frieman,1167,American,0.28927
javanbakht,1167,Indian,0.508441
afonin,1167,Brazilian,0.185592
flinn,1167,American,0.37965
nogima,1167,Japanese,0.093458
bellani,1167,Italian,0.21504
bundock,1167,American,0.252479
durr,1167,American,0.535595
suhr,1167,American,0.238163
akai,1167,Japanese,0.424017
osuka,1167,Japanese,0.536361
torous,1167,Greek,0.59046
nalini,1167,Italian,0.194088
carella,1167,Italian,0.335491
hirschi,1167,American,0.252331
carley,1167,American,0.378608
moraga,1166,American,0.144849
thea,1166,American,0.239224
troncon,1166,American,0.37929
ido,1166,American,0.171499
niles,1166,Brazilian,0.223838
flanders,1166,American,0.275068
aldana,1166,American,0.13771
wrona,1166,American,0.274129
legger,1166,American,0.472762
clevers,1166,American,0.222208
haddar,1166,Indian,0.246862
bundschuh,1166,German,0.365541
salvarani,1166,Indian,0.292982
butti,1166,American,0.321326
nema,1166,Brazilian,0.182743
mifsud,1166,American,0.175441
whitbeck,1165,American,0.420101
heidrich,1165,German,0.299908
ramkissoon,1165,Mongolian,0.150531
lortholary,1165,American,0.321699
villavicencio,1165,American,0.205369
zribi,1165,American,0.158443
grantham,1165,Indian,0.307103
hamanaka,1165,Japanese,0.388671
steed,1165,American,0.569146
gottfried,1165,German,0.405601
diamant,1165,French,0.18977
collings,1165,American,0.252681
schotten,1165,American,0.299392
boelens,1165,Belgian,0.540573
mcneely,1165,American,0.414448
giesbrecht,1165,Belgian,0.177757
macchia,1165,Italian,0.229151
pathirana,1165,Indian,0.660334
zunino,1165,Brazilian,0.231974
facchinetti,1165,Italian,0.741005
moilanen,1165,American,0.145968
sonnenschein,1164,German,0.236628
teitelbaum,1164,German,0.421291
bilge,1164,American,0.232432
toldaiev,1164,Bulgarian,0.469761
saar,1164,American,0.1626
igwe,1164,Nigerian,0.163168
ganapathi,1164,Indian,0.571252
preusser,1164,American,0.333955
schwalbe,1164,German,0.493061
gandaglia,1164,Italian,0.301666
ganie,1164,American,0.170143
audet,1164,French,0.309277
dijk,1164,Dutch,0.556998
busza,1164,American,0.304929
shittu,1164,Indian,0.342256
meridiani,1164,Iranian,0.196758
levenson,1164,Brazilian,0.368529
berryman,1164,American,0.320794
pelz,1164,American,0.549065
toney,1164,American,0.464745
brien,1164,French,0.231995
canton,1163,American,0.278906
dubose,1163,Nigerian,0.219896
schuldt,1163,American,0.382708
gillani,1163,Italian,0.250421
calzada,1163,American,0.191559
esserman,1163,American,0.240156
sheahan,1163,American,0.280371
kadono,1163,American,0.130008
wijnen,1163,Dutch,0.766681
jowett,1163,American,0.375875
maeder,1163,American,0.312544
bernini,1163,Italian,0.45607
meucci,1163,American,0.371948
nikpour,1163,French,0.183634
kiang,1163,Chinese,0.370575
steenbergen,1163,American,0.449273
cormack,1162,American,0.231978
rangaswamy,1162,Indian,0.727012
weitzman,1162,American,0.547012
rabinovici,1162,Italian,0.242824
kochar,1162,American,0.206197
sams,1162,American,0.252083
platten,1162,American,0.286935
treille,1162,American,0.261776
davoli,1162,Italian,0.196517
wallwiener,1162,American,0.302294
buscemi,1162,Italian,0.333191
choung,1162,Korean,0.301173
bakhtiar,1162,Iranian,0.415668
darras,1162,Greek,0.137576
daimon,1162,American,0.171531
maude,1162,French,0.268051
dhami,1162,Indian,0.436084
kalina,1162,Russian,0.403914
madec,1162,American,0.20375
vaandering,1162,Estonian,0.243966
boscardin,1162,French,0.448853
top,1162,American,0.29594
mohri,1161,Iranian,0.182463
ohi,1161,American,0.138909
suetsugu,1161,Japanese,0.928807
high,1161,American,0.282955
tognetti,1161,Italian,0.266242
lethuillier,1161,French,0.496088
hirsh,1161,American,0.198793
free,1161,American,0.396149
trani,1161,American,0.142584
schoenberg,1161,American,0.432074
abdin,1161,American,0.217179
gradl,1161,Austrian,0.196499
iwatsuki,1161,Japanese,0.85544
kempen,1161,American,0.120992
weckhuysen,1161,Dutch,0.317519
tomaselli,1161,Italian,0.497841
atwater,1161,American,0.35086
bajic,1161,French,0.298967
carmeliet,1161,French,0.252048
keyser,1161,American,0.46155
plumb,1161,American,0.341522
colombi,1161,Italian,0.433912
kirschbaum,1161,American,0.279247
ayoubi,1161,Iranian,0.421365
nazemi,1161,Iranian,0.132277
kenner,1161,American,0.33035
skvortsova,1161,Bulgarian,0.402167
shipman,1161,Indian,0.278677
bhogal,1160,Indian,0.412734
azizan,1160,Iranian,0.13794
child,1160,American,0.389451
ertel,1160,French,0.154549
parton,1160,American,0.218004
popkov,1160,Russian,0.656944
tichy,1160,American,0.340197
goffin,1160,American,0.234887
mauer,1160,American,0.203857
uozumi,1160,Japanese,0.794336
ciardiello,1160,Italian,0.304567
karr,1160,American,0.418905
serena,1160,Russian,0.225209
netzer,1159,American,0.256884
gohlke,1159,German,0.614819
petitjean,1159,Armenian,0.136293
tadic,1159,American,0.207898
vossen,1159,Norwegian,0.558735
bronner,1159,American,0.32855
ladner,1159,American,0.397749
matthay,1159,Indian,0.27
jawahar,1159,Indian,0.597953
behbahani,1159,Iranian,0.844846
peterman,1159,American,0.337861
ghazanfari,1159,Iranian,0.836508
khodaei,1159,Iranian,0.842511
mackillop,1158,American,0.226965
saadati,1158,Indonesian,0.382296
preis,1158,American,0.340927
mancia,1158,American,0.185362
sammut,1158,Thai,0.307678
tanskanen,1158,American,0.190134
thielmann,1158,German,0.667162
tuncel,1158,American,0.37439
hamzeh,1158,Iranian,0.221734
nambu,1158,Indian,0.270393
ahlers,1158,American,0.286311
sasahara,1158,Japanese,0.463269
derkaoui,1158,French,0.319074
krutelyov,1158,Russian,0.903065
mekki,1158,American,0.267462
vassilev,1158,Russian,0.454723
kashi,1158,Japanese,0.28159
velusamy,1158,Malagasy,0.11409
tolmachev,1158,Bulgarian,0.731328
kilby,1158,American,0.334697
mahboubi,1158,Iranian,0.581157
gouskos,1158,Greek,0.773254
donnan,1158,American,0.231296
mahaffey,1158,American,0.330098
macchiolo,1157,Italian,0.44363
ohman,1157,American,0.138116
palmeira,1157,Brazilian,0.337624
westfall,1157,American,0.298846
abbaneo,1157,American,0.184594
danko,1157,American,0.164284
kogut,1157,American,0.138899
beveridge,1157,English,0.249222
nazzal,1157,American,0.160862
akinola,1157,American,0.18572
newland,1157,American,0.313528
menasce,1157,American,0.452901
cremonini,1157,Italian,0.69255
hindrichs,1157,American,0.346263
fajar,1157,Iranian,0.251844
formiga,1157,Italian,0.288709
shida,1157,Japanese,0.636419
paparella,1157,Indian,0.413813
rondon,1157,American,0.305452
boudoul,1157,French,0.667032
cammarata,1157,Indian,0.178299
scheidt,1157,German,0.391711
vladimirova,1156,Russian,0.714784
ainslie,1156,American,0.300843
baughman,1156,American,0.298497
torricelli,1156,Italian,0.465275
folch,1156,American,0.274714
hagmann,1156,German,0.48482
paramesvaran,1156,Tamil,0.380323
hoke,1156,Japanese,0.388069
crouse,1156,American,0.265996
gehlot,1156,American,0.152073
sader,1156,American,0.238271
lein,1156,American,0.388765
gultom,1156,American,0.215453
shubin,1156,Russian,0.215683
roze,1156,American,0.44827
gulyaeva,1156,Russian,0.570758
vossebeld,1156,American,0.206451
cascone,1156,Italian,0.224165
ronzani,1156,Italian,0.209751
steininger,1156,American,0.274783
uplegger,1156,American,0.286845
bojesen,1156,Nigerian,0.414138
kuechler,1156,American,0.395651
tonjes,1155,Portuguese,0.143975
gopinathan,1155,Indian,0.454273
tsirou,1155,Greek,0.745849
nahn,1155,American,0.324336
setia,1155,Indonesian,0.113348
tanis,1155,Greek,0.454083
lorimer,1155,American,0.410703
burtscher,1155,American,0.294267
asari,1155,American,0.185409
shakiba,1155,Japanese,0.403705
suryavanshi,1155,Indian,0.514127
madhuri,1155,Indian,0.753053
haran,1155,Indian,0.153666
ozok,1155,American,0.244998
poulos,1155,Greek,0.69393
antonello,1155,Italian,0.456076
kolesnik,1155,Russian,0.348412
baillon,1155,French,0.303126
winkelman,1155,American,0.34157
hiatt,1155,American,0.288394
kawakubo,1155,Japanese,0.473857
hasin,1155,American,0.116276
warden,1155,American,0.319307
weder,1155,American,0.349602
asiedu,1155,American,0.183612
froese,1154,American,0.188411
obeng,1154,Chinese,0.153003
favaloro,1154,Italian,0.163487
cacoub,1154,American,0.19569
ovcharenko,1154,Ukrainian,0.638234
nachtman,1154,American,0.420806
petrik,1154,American,0.217257
rusack,1154,American,0.269442
comte,1154,American,0.202903
stoller,1154,American,0.34838
mustika,1154,American,0.22215
ascione,1154,American,0.265689
casson,1154,American,0.194841
vergis,1154,Latvian,0.256646
nakae,1154,Japanese,0.357614
heisler,1154,American,0.487817
zangeneh,1154,Iranian,0.18886
rajamanickam,1154,Tamil,0.567336
balsamo,1154,Indonesian,0.086004
saimpert,1154,American,0.198563
kirton,1154,American,0.198495
raghuram,1154,Indian,0.371505
moharana,1153,Indian,0.418073
gilliam,1153,American,0.221974
nambi,1153,Indian,0.22608
wawrzyniak,1153,American,0.136886
negara,1153,American,0.162783
sadda,1153,Indian,0.283665
schippers,1153,German,0.284485
mecca,1153,American,0.361936
higuera,1153,Japanese,0.169975
supriya,1153,Indonesian,0.394465
babel,1153,American,0.240439
alarifi,1153,Italian,0.254077
quijada,1153,American,0.196415
claude,1153,Canadian,0.27096
usuda,1153,Indonesian,0.21194
schlom,1153,American,0.256462
busato,1153,Japanese,0.235678
oto,1152,American,0.176416
stamatopoulos,1152,Greek,0.881036
qorbani,1152,Iranian,0.352035
kuperman,1152,American,0.22884
deboer,1152,American,0.315648
demircan,1152,Brazilian,0.401021
howland,1152,American,0.267677
damgov,1152,Russian,0.417637
klok,1152,American,0.249601
lucchese,1152,Italian,0.2483
dallaire,1152,French,0.231427
keswani,1152,Indian,0.319597
sinev,1152,Russian,0.520677
valipour,1152,Iranian,0.468745
pio,1152,American,0.320812
bleicher,1152,American,0.2355
razzaghi,1152,Iranian,0.317691
reithler,1152,American,0.471861
dongre,1152,American,0.164185
coscia,1152,Romanian,0.474154
pellicano,1152,American,0.26219
galvani,1151,Italian,0.179351
abro,1151,American,0.306325
rotondi,1151,Brazilian,0.219365
tellez,1151,American,0.551136
bastard,1151,French,0.26082
lozada,1151,American,0.126166
abiodun,1151,Nigerian,0.268346
sysoev,1151,Russian,0.739521
ellajosyula,1151,Indian,0.148131
gouin,1151,French,0.288208
bonino,1151,Italian,0.150858
cecere,1151,American,0.223302
kozawa,1151,Japanese,0.453776
lowette,1151,American,0.326842
brousse,1151,French,0.518468
flatt,1151,American,0.38446
mrenna,1151,Brazilian,0.181432
ganjour,1151,Iranian,0.249787
stegmaier,1151,American,0.405693
ohnuma,1150,Nigerian,0.258021
selvarajan,1150,Tamil,0.473361
fukushi,1150,Japanese,0.54677
jouve,1150,French,0.198608
arcuri,1150,Italian,0.459549
bayar,1150,Indian,0.215088
georgakopoulos,1150,Greek,0.935187
lila,1150,American,0.142536
flamm,1150,German,0.204452
morata,1150,American,0.126838
vischia,1150,American,0.133978
ariff,1150,American,0.632922
birkeland,1150,American,0.226096
fiocco,1150,Italian,0.589465
mahr,1150,American,0.238812
farhadian,1150,Iranian,0.803157
venn,1150,Estonian,0.215289
stenberg,1149,American,0.362046
luhmann,1149,German,0.653502
mizokami,1149,Japanese,0.808536
rotstein,1149,American,0.356557
namasivayam,1149,Tamil,0.423393
bye,1149,American,0.158131
saoulidou,1149,Greek,0.458399
sguazzoni,1149,Italian,0.228273
wooten,1149,American,0.205034
eichel,1149,French,0.276772
kasten,1149,American,0.112046
damen,1149,American,0.229253
vrijheid,1149,Lithuanian,0.212513
warshaw,1149,English,0.257707
everitt,1149,American,0.41379
filippatos,1149,Greek,0.896677
dhital,1149,Indian,0.459224
kuprash,1149,Indian,0.428766
torok,1148,American,0.296524
hashemzadeh,1148,Iranian,0.739892
rocher,1148,American,0.466682
martinek,1148,American,0.238344
galiano,1148,Italian,0.15712
seely,1148,Korean,0.341097
barca,1148,American,0.159076
barro,1148,American,0.266324
hoshina,1148,Japanese,0.327142
hodkinson,1148,American,0.251576
saida,1148,Japanese,0.256073
bex,1148,American,0.352071
sinitsyn,1148,Russian,0.262607
sunardi,1148,Indonesian,0.599329
abdeen,1148,Indian,0.202564
chaurasiya,1148,Indonesian,0.29338
mazin,1148,Russian,0.3591
wahdan,1147,Egyptian,0.121793
garssen,1147,Norwegian,0.686286
lusiani,1147,Italian,0.232796
sekmen,1147,Dutch,0.213788
cubero,1147,American,0.18212
southey,1147,Indian,0.21741
whitson,1147,American,0.293307
onuki,1147,Japanese,0.544164
stec,1147,American,0.391468
genin,1147,Russian,0.238478
youngblood,1147,American,0.474351
otter,1147,American,0.284808
vidhya,1147,Indian,0.29848
kotlinski,1147,Macedonian,0.503226
bilin,1147,Russian,0.11938
hangal,1147,Indian,0.389505
hamers,1147,American,0.277121
auguste,1147,American,0.244617
szleper,1147,American,0.282015
vijaya,1147,Indian,0.320799
stepien,1147,American,0.246296
bauerdick,1147,American,0.196237
mogg,1147,American,0.372912
paganis,1147,Greek,0.486246
maltais,1147,French,0.158286
foglia,1147,Italian,0.151062
yarlagadda,1147,Indian,0.599092
kozik,1147,Russian,0.355545
chandak,1146,Thai,0.387298
manzari,1146,Iranian,0.297618
mittendorf,1146,American,0.309016
suryana,1146,Indonesian,0.231691
moiseenko,1146,American,0.245564
ahammad,1146,Iranian,0.212867
larocque,1146,French,0.287568
aghamohammadi,1146,Iranian,0.794078
aich,1146,American,0.404605
glege,1146,American,0.210332
abduljabbar,1146,Indian,0.304603
vuorinen,1146,Russian,0.179908
gohari,1146,Iranian,0.173842
puckett,1146,American,0.483367
edlow,1146,American,0.231336
schroer,1146,American,0.330497
ghaleb,1146,American,0.083999
hartnett,1145,American,0.264914
beltrami,1145,American,0.217275
chupakhin,1145,Thai,0.430162
kieseler,1145,American,0.41264
czellar,1145,American,0.302765
sati,1145,Indonesian,0.178759
abernathy,1145,American,0.206073
prichard,1145,American,0.300833
crous,1145,American,0.335938
cittolin,1145,Romanian,0.17401
bunkowski,1145,American,0.345377
sathyanarayana,1145,Indian,0.852651
gunawardena,1145,Indian,0.578964
rauer,1145,American,0.280019
reitsma,1145,Estonian,0.313719
kaestner,1145,American,0.175127
krokovny,1145,Russian,0.717604
lipkin,1145,American,0.405392
glanz,1145,American,0.283266
bisanz,1145,American,0.322204
finan,1145,American,0.126303
lenaerts,1145,Belgian,0.737338
dilger,1144,American,0.28955
rangasamy,1144,Tamil,0.390627
manly,1144,American,0.236155
kanji,1144,Japanese,0.266543
harkusha,1144,Indian,0.501148
polley,1144,American,0.25839
kangal,1144,Indian,0.332363
jonasson,1144,French,0.229252
bednyakov,1144,Russian,0.758177
shears,1144,American,0.316913
tonello,1144,American,0.319157
davatzikos,1144,Greek,0.915295
weninger,1144,Brazilian,0.275941
nissan,1143,French,0.151817
glisic,1143,American,0.199922
tarna,1143,American,0.108426
kazim,1143,Russian,0.270555
picco,1143,American,0.33835
catalan,1143,American,0.207485
diederich,1143,American,0.18541
mudgal,1143,American,0.21439
yashima,1143,Japanese,0.505179
andini,1143,Italian,0.335513
baishya,1143,Indian,0.619903
okon,1143,Japanese,0.198995
felker,1143,German,0.282271
hammers,1143,American,0.217877
legge,1143,American,0.400285
srinath,1143,Indian,0.257162
selman,1143,American,0.336924
paternoster,1143,American,0.288689
gledhill,1143,American,0.257864
ferdinand,1143,American,0.108228
poonia,1143,Indian,0.354375
posthuma,1142,Indian,0.30509
tufan,1142,American,0.246695
bannon,1142,American,0.167435
schmied,1142,American,0.392086
tsolaki,1142,Greek,0.314585
clawson,1142,American,0.221971
olivotto,1142,Italian,0.190289
zakrzewski,1142,American,0.152595
claridge,1142,American,0.269897
cuneo,1142,American,0.187097
malcles,1142,American,0.178249
arboleda,1142,Italian,0.194824
imperiale,1142,Greek,0.144122
ura,1142,American,0.31969
toyooka,1142,Japanese,0.46006
cesaro,1142,American,0.222068
soldati,1142,Iranian,0.23637
bing,1142,American,0.303928
cumalat,1141,American,0.112864
kralj,1141,Albanian,0.15937
canavan,1141,American,0.159586
kooi,1141,Japanese,0.144485
goerlach,1141,French,0.189988
zach,1141,American,0.403536
bruera,1141,Portuguese,0.148806
wenk,1141,American,0.259337
storer,1141,American,0.426204
starks,1141,Latvian,0.381403
tirosh,1141,American,0.18136
garde,1141,American,0.180187
voorhees,1141,American,0.139679
oktavia,1141,Greek,0.132902
khukhunaishvili,1141,Georgian,0.199949
rockwood,1141,American,0.47479
rauber,1141,American,0.31411
uesaka,1141,Japanese,0.332479
gambaro,1141,Indian,0.164352
rinke,1141,American,0.299605
melikyan,1141,Armenian,0.927131
padeken,1141,American,0.148147
renteria,1140,Italian,0.123591
booij,1140,Dutch,0.33955
sunkara,1140,Japanese,0.357158
hwangbo,1140,Korean,0.699974
breunig,1140,Brazilian,0.501607
nacher,1140,American,0.385041
stoltz,1140,American,0.489995
ngadiuba,1140,Indonesian,0.110068
bitter,1140,American,0.299468
aghajani,1140,Indian,0.441518
rappoccio,1140,Italian,0.442905
hadfield,1140,American,0.380674
pambudi,1140,Indian,0.470187
cherkasova,1140,Russian,0.547267
panfilov,1140,Bulgarian,0.462143
brodeur,1140,Brazilian,0.245853
arnaldi,1140,Italian,0.364473
nolasco,1140,Italian,0.204783
ivashchenko,1140,Russian,0.427658
schellekens,1140,Dutch,0.465001
hits,1139,American,0.513996
rummel,1139,American,0.223493
tomaz,1139,American,0.34688
inam,1139,English,0.107908
abele,1139,American,0.267098
netti,1139,Italian,0.334715
dotson,1139,American,0.195896
rome,1139,American,0.318884
cossutti,1139,Italian,0.460227
lean,1139,American,0.395962
puertas,1139,Greek,0.242576
simo,1139,American,0.095911
battaglini,1139,Italian,0.458048
ghosn,1139,American,0.352931
bolli,1139,American,0.200884
karthika,1139,Indian,0.712751
sperandio,1139,American,0.159754
madej,1139,American,0.301351
pablo,1139,American,0.24826
hone,1139,American,0.257026
catanzaro,1138,American,0.212958
cunliffe,1138,English,0.278344
jassal,1138,Indian,0.233383
carreon,1138,American,0.352966
kama,1138,Indian,0.127532
waki,1138,Japanese,0.365964
firat,1138,French,0.087164
mugo,1138,American,0.164365
kolte,1138,American,0.177293
yabuki,1138,Japanese,0.696281
goggins,1138,Latvian,0.262502
jover,1138,American,0.32827
dubourg,1138,French,0.263657
raaijmakers,1138,Dutch,0.715774
yadava,1138,Indian,0.344935
thornburg,1138,German,0.379546
gassmann,1138,German,0.403378
loughran,1138,American,0.289535
somogyi,1138,Hungarian,0.152292
mohindra,1137,Indian,0.627454
plata,1137,American,0.120155
marsili,1137,Brazilian,0.136364
ebina,1137,Russian,0.183096
berna,1137,American,0.094401
taljaard,1137,Norwegian,0.232979
lamarca,1137,American,0.215712
murari,1137,American,0.170486
attri,1137,American,0.348445
fellner,1137,Austrian,0.197597
kodaira,1137,Indian,0.297618
balbi,1137,American,0.119437
jayalakshmi,1137,Indian,0.927528
caiazzo,1137,Italian,0.264341
sabour,1137,French,0.238933
holla,1137,American,0.210912
vaca,1137,Moldovan,0.216191
michelini,1137,Greek,0.184054
dimaio,1137,Brazilian,0.180957
demiragli,1137,Italian,0.280708
giffels,1137,Latvian,0.278159
ilin,1137,Russian,0.184864
diamantopoulos,1137,Greek,0.919173
hsi,1137,American,0.148525
shad,1136,Indian,0.22421
miyamura,1136,Japanese,0.796428
kozin,1136,Russian,0.522352
stacy,1136,American,0.494286
kort,1136,American,0.295613
yordanov,1136,Bulgarian,0.675643
rosenbloom,1136,American,0.385823
sable,1136,American,0.280203
rangappa,1136,Indian,0.563414
mahal,1136,American,0.231914
altshuler,1136,American,0.451125
zabi,1136,American,0.136341
purwaningsih,1136,Indonesian,0.202099
echevarria,1136,Greek,0.18053
lambin,1136,American,0.206375
demartini,1136,Italian,0.511753
schneck,1136,German,0.473231
lafont,1136,American,0.297769
peoples,1136,Greek,0.710343
chistyakov,1135,Russian,0.527629
pryce,1135,American,0.576406
prabhash,1135,Indian,0.762689
godinovic,1135,French,0.159686
marpaung,1135,Burmese,0.179349
kokkas,1135,Greek,0.293549
pranata,1135,Indian,0.426336
true,1135,American,0.530921
pardos,1135,Greek,0.261816
mallat,1135,American,0.149345
juodagalvis,1135,Indian,0.243585
busquets,1134,American,0.431176
rizza,1134,American,0.323729
borghesi,1134,Italian,0.245482
chayama,1134,Thai,0.395531
ravina,1134,Indian,0.125774
kalluri,1134,Indian,0.254562
eisenhardt,1134,German,0.556407
moshiri,1134,Japanese,0.260737
amram,1134,Indian,0.140355
ferraioli,1134,Italian,0.688796
katzman,1134,Russian,0.247802
kum,1134,Korean,0.360248
mounier,1134,French,0.590913
pienaar,1134,Dutch,0.220002
caspers,1134,American,0.191116
abbiendi,1134,Italian,0.235424
abt,1134,American,0.552021
malyukov,1134,Russian,0.899043
hiemstra,1134,American,0.144977
kohout,1133,American,0.121608
robba,1133,American,0.292011
semsarian,1133,Iranian,0.366911
woodall,1133,American,0.43175
nicoll,1133,French,0.239317
corbella,1133,Italian,0.257284
luyt,1133,American,0.378844
mccune,1133,American,0.298215
riis,1133,American,0.221778
hetherington,1133,American,0.209692
trojan,1133,Armenian,0.177929
buzzi,1133,American,0.305683
mcdade,1133,American,0.329064
kako,1133,American,0.166848
brands,1133,American,0.163191
haghshenas,1133,Iranian,0.229753
verri,1133,American,0.288519
cabrillo,1133,American,0.167677
movahed,1133,Iranian,0.680047
neveu,1133,Brazilian,0.317098
dmytriw,1133,Ukrainian,0.205453
dahlke,1133,German,0.444937
licitra,1133,American,0.20734
vesterinen,1133,Russian,0.1574
babazadeh,1133,Iranian,0.628982
raleigh,1132,American,0.304761
chmiel,1132,American,0.252702
piovesan,1132,Armenian,0.269765
neuberger,1132,American,0.298724
corcione,1132,American,0.24453
fajri,1132,Iranian,0.25083
inchingolo,1132,Italian,0.215999
ravinovich,1132,American,0.151665
diamanti,1132,Indonesian,0.343897
esper,1132,American,0.351997
khalsa,1132,Tibetan,0.292529
ishimura,1132,Japanese,0.579873
schwartzberg,1132,American,0.430628
parke,1132,American,0.338178
ghahramani,1132,Iranian,0.762417
mnich,1131,American,0.230541
donal,1131,American,0.143305
emsley,1131,American,0.265388
muthukumaran,1131,Indian,0.537979
frishman,1131,Indian,0.173195
cescon,1131,American,0.261867
shand,1131,Indian,0.273296
llovet,1131,American,0.34034
koppel,1131,American,0.18186
trimble,1131,American,0.480578
hamelin,1131,American,0.128266
noskov,1131,Bulgarian,0.392011
barut,1131,Thai,0.160943
kashihara,1131,Japanese,0.462286
eric,1131,American,0.259738
frezza,1131,Italian,0.344836
kalin,1131,Russian,0.301939
monari,1131,Iranian,0.241087
baars,1130,Dutch,0.417841
nowakowska,1130,American,0.252495
ingelsson,1130,American,0.205517
jude,1130,Indian,0.224578
mitu,1130,American,0.185484
pinson,1130,American,0.245752
sirignano,1130,Indonesian,0.403253
bunin,1130,American,0.17939
heyn,1130,American,0.278605
laptev,1130,Bulgarian,0.263478
murohara,1130,Japanese,0.223792
ambati,1130,Indian,0.2578
ledovskoy,1130,Russian,0.304447
kamenev,1130,Russian,0.773281
malherbe,1130,Brazilian,0.330219
hummer,1130,American,0.380853
alzubaidi,1130,Italian,0.099444
piscopo,1130,Italian,0.391922
lopera,1130,American,0.249791
malafaia,1130,Indian,0.104498
lines,1130,American,0.336784
tirelli,1130,Italian,0.314982
carollo,1130,Italian,0.376306
mubarok,1130,Thai,0.174878
alder,1130,American,0.316092
gadow,1130,American,0.157987
pusic,1130,American,0.333954
sreedhar,1130,Indian,0.801092
tamrakar,1130,Indian,0.567641
rudnicki,1130,American,0.387928
tarek,1129,American,0.165039
shirokov,1129,Russian,0.706323
merschmeyer,1129,German,0.315342
janowski,1129,American,0.340181
rabbertz,1129,American,0.60669
balazs,1129,American,0.187693
pedram,1129,American,0.143116
sahinsoy,1129,Japanese,0.182125
burgner,1129,Austrian,0.28107
obradovic,1129,American,0.147419
trnka,1129,Slovak,0.133065
chapagain,1129,Thai,0.515043
gondim,1129,American,0.164739
hadjadj,1129,French,0.160403
fettweis,1129,German,0.445245
alqurashi,1129,Indian,0.291447
thibaut,1129,French,0.399984
kyriakopoulos,1129,Greek,0.918097
loria,1129,American,0.165463
haeusler,1129,American,0.25167
mbuagbaw,1129,American,0.162416
busso,1129,American,0.170557
fukuchi,1129,Japanese,0.69901
wnuk,1129,American,0.191002
safin,1128,Russian,0.161706
broberg,1128,American,0.297224
messaoud,1128,French,0.13815
bhargav,1128,Indian,0.361648
takasugi,1128,Japanese,0.94776
furth,1128,American,0.29242
alkhaldi,1128,Indian,0.540489
sasson,1128,French,0.228736
grigoras,1128,Greek,0.753221
borra,1128,American,0.202755
karapostoli,1128,Greek,0.147575
simoncini,1128,Italian,0.545294
vranic,1128,American,0.123862
wormser,1128,American,0.227278
chimenti,1128,Italian,0.316827
gaskins,1127,American,0.260343
tholen,1127,American,0.321401
supriadi,1127,Indonesian,0.823517
guda,1127,American,0.163994
logothetis,1127,Greek,0.747466
felice,1127,American,0.314689
agu,1127,American,0.242226
seez,1127,American,0.236844
soboleva,1127,Bulgarian,0.466247
hivert,1127,French,0.28659
ghanim,1127,American,0.076227
durocher,1127,American,0.187994
johannesson,1127,French,0.167521
thirumalai,1127,Tamil,0.378981
kinugawa,1127,Japanese,0.79564
bachtis,1127,American,0.209404
denkert,1127,Dutch,0.349342
norwood,1127,American,0.376524
kiser,1127,American,0.313511
cossio,1127,Brazilian,0.166761
barras,1127,American,0.13865
porte,1127,American,0.209869
desantis,1127,Greek,0.462996
doroba,1127,American,0.106788
dondorp,1126,American,0.205032
tinsley,1126,American,0.344584
mehdipour,1126,Iranian,0.911366
wyslouch,1126,American,0.285775
bluj,1126,Albanian,0.308915
nakamichi,1126,Japanese,0.815269
redding,1126,American,0.23519
sharipov,1126,Russian,0.805982
colleoni,1126,Italian,0.715651
ebata,1126,Brazilian,0.160042
volobouev,1126,Russian,0.815709
hackenberg,1126,American,0.408059
tsegaye,1126,Ethiopian,0.270812
cordoba,1126,American,0.19739
gotlib,1126,American,0.147064
abdu,1126,American,0.158086
sherr,1125,American,0.523398
theodoropoulos,1125,Greek,0.970287
mcmahan,1125,American,0.350131
bolan,1125,American,0.153788
olteanu,1125,Romanian,0.769795
rohit,1125,American,0.32341
hrynevich,1125,Belarusian,0.240823
sereda,1125,Portuguese,0.103759
sedlacek,1125,American,0.339003
severson,1125,Brazilian,0.371972
tsiareshka,1124,Belarusian,0.318649
karnes,1124,American,0.123981
wolfram,1124,American,0.149383
foudas,1124,Greek,0.193589
friederich,1124,German,0.406814
pirro,1124,American,0.256872
stoynev,1124,Bulgarian,0.702633
nihei,1124,Romanian,0.243201
nose,1124,American,0.241898
postnikov,1124,Russian,0.638575
sowers,1124,American,0.350076
lichtman,1124,American,0.410255
horinouchi,1124,Iranian,0.550327
jentsch,1124,German,0.211928
khalifeh,1124,Iranian,0.378568
khadilkar,1124,Indian,0.453702
suganya,1124,Japanese,0.211831
grohsjean,1124,Armenian,0.122774
todoroki,1124,Japanese,0.224037
caggiano,1123,Italian,0.609525
habeeb,1123,Pakistani,0.153884
lavezzi,1123,Italian,0.395952
huse,1123,American,0.338177
hammerschmidt,1123,German,0.518795
hudon,1123,American,0.263853
aronica,1123,American,0.238699
helary,1123,American,0.278536
sturdy,1123,American,0.320618
kaadze,1123,Georgian,0.202783
rached,1123,American,0.432813
kito,1123,Japanese,0.23241
schenone,1123,American,0.351202
maejima,1123,Japanese,0.572643
debray,1123,American,0.263616
tannenbaum,1122,German,0.355961
tobita,1122,American,0.183679
kamenshchikov,1122,Russian,0.70579
bargassa,1122,French,0.124588
petrolini,1122,Italian,0.289554
mascolo,1122,Brazilian,0.16897
