last_name,n_incidents,predicted_nationality,confidence
mukherjee,48484,Indian,0.898102
simon,48353,American,0.121573
becker,48293,American,0.303598
hasan,48233,Indian,0.131531
phillips,48198,American,0.33029
malik,48065,American,0.211759
mori,48058,American,0.2665
peng,47803,Chinese,0.562275
hayashi,47779,Japanese,0.620682
turner,47183,American,0.42512
alam,47032,American,0.146145
hughes,46961,American,0.222695
gonzalez,46850,American,0.404012
edwards,46832,American,0.271945
mohammed,46689,Indian,0.225078
collins,46093,American,0.283701
hossain,45981,Bangladeshi,0.320333
murray,45962,American,0.316569
stewart,45921,American,0.511873
matsumoto,45912,Japanese,0.918699
chakraborty,45679,Indian,0.432865
yao,45678,Chinese,0.263419
xiao,45470,American,0.157412
fang,45435,Chinese,0.563127
bae,45411,American,0.173094
yamaguchi,45162,Japanese,0.886113
ding,44979,American,0.337853
ye,44684,American,0.153971
garg,44077,American,0.177338
ha,43760,American,0.173748
moreno,43752,American,0.153109
ward,43746,American,0.498388
ross,43689,American,0.431839
sinha,43614,Brazilian,0.314547
almeida,43509,Portuguese,0.278697
hung,43211,Chinese,0.239633
hsieh,43180,Taiwanese,0.062753
soares,43117,Portuguese,0.220604
parker,42991,American,0.498173
long,42916,American,0.284376
chou,42869,Greek,0.227496
shimizu,42838,Japanese,0.82203
cai,42676,American,0.359957
pal,42665,Indian,0.246668
morgan,42531,American,0.190614
kimura,42503,Japanese,0.528246
biswas,42497,Indian,0.27237
james,42047,American,0.238433
souza,41949,American,0.135148
ryu,41937,Japanese,0.187904
weiss,41929,American,0.400639
dias,41691,American,0.152201
lopez,41674,American,0.445479
wolf,41674,American,0.374078
tiwari,41671,Indian,0.237356
sasaki,41638,Japanese,0.83127
dutta,41632,American,0.190622
nam,41568,American,0.172059
iqbal,41567,Indian,0.276517
ray,41259,American,0.433367
berger,41197,German,0.182608
agrawal,41030,Indian,0.670777
ryan,41026,Armenian,0.820496
watson,40957,American,0.223666
chatterjee,40949,Indian,0.531968
bell,40861,American,0.462808
bauer,40739,French,0.218715
lam,40695,American,0.312537
cook,40615,American,0.435281
son,40472,American,0.36311
rocha,40390,Brazilian,0.266566
abdullah,40368,Pakistani,0.195453
chiu,40315,Romanian,0.491926
shaw,40243,American,0.159115
chowdhury,39816,Indian,0.370016
fisher,39630,American,0.435325
walsh,39240,American,0.345586
yeh,39239,Ghanaian,0.094348
harrison,39231,American,0.201911
schwartz,39144,American,0.513669
marques,39103,Portuguese,0.292992
machado,38988,American,0.257832
nair,38814,American,0.23005
hoffmann,38784,German,0.655252
perez,38671,American,0.417619
sanchez,38535,American,0.344308
bennett,38405,American,0.359253
andersen,38372,Norwegian,0.467334
teixeira,38274,Brazilian,0.391447
du,38131,American,0.27253
gu,38053,American,0.21351
gray,37934,American,0.340449
marshall,37766,American,0.431379
kennedy,37326,American,0.270739
vieira,37236,Brazilian,0.542284
romero,37066,American,0.23231
yin,36960,Korean,0.245218
rogers,36909,American,0.255834
amin,36605,American,0.327619
graham,36574,Indian,0.174761
cruz,36539,American,0.487037
moreira,36497,Portuguese,0.418179
yun,36464,Korean,0.508038
bhattacharya,36215,Indian,0.791006
sousa,36207,American,0.128962
lang,36195,American,0.28199
sung,36187,Korean,0.430352
sullivan,36172,American,0.158249
price,36110,American,0.429617
russo,36084,American,0.257031
richardson,35979,American,0.33262
shukla,35938,Indian,0.374406
mueller,35809,American,0.534041
desai,35734,American,0.172442
deng,35685,Chinese,0.463982
levy,35668,American,0.153231
gordon,35627,American,0.226856
jo,35429,American,0.228472
carter,35329,American,0.361246
lo,35235,American,0.446828
joseph,35196,Indian,0.470197
consortium,35039,American,0.158628
clarke,34993,American,0.30783
kong,34954,Chinese,0.252922
abe,34895,American,0.389771
fernandez,34823,American,0.276639
ivanov,34765,Russian,0.50302
kumari,34672,Japanese,0.26519
an,34599,American,0.340107
russell,34374,American,0.437214
jacobs,34330,American,0.174357
hernandez,34228,American,0.293928
min,34132,American,0.416601
abbas,34112,Greek,0.218203
mandal,34092,American,0.139873
